"Tweet"
"Reggie Fils-Aime retiring from #Nintendo https://t.co/G2YA9On4Lx via @Polygon"
"Can't believe Reggie Fils-Aime is stepping down and retiring. Dude is a legend, love the guy. Hope he enjoys retirement. Thanks for everything, including the memes..#Nintendo 

You will be missed as the president of Nintendo America. https://t.co/HlqTszbp4e"
"I, for one, welcome our new Koopa overlords at @NintendoAmerica #nintendo #bowser https://t.co/lF4omsnalc"
"Kudos to Bowser for getting the new #Nintendo gig; I didn't even know that he liked video games. https://t.co/9tpayRqJp4"
"How is this real?! Hahaha #Reggie #Nintendo https://t.co/DSDdHlFLNS"
"@NintendoAmerica is one of my favorite companies. They make great games and systems and are so passionate about the fans. Reggie was a great leader and I wish him all the best. #Reggie #Nintendo"
"Thank you, Reggie. The news of your retirement left me stunned and sad. But I'm glad to see you going out with your signature love of video games still very much in tact. Your passion and dedication has left a lasting impression on the gaming community. Take care. <f0><U+009F><U+008E><U+00AE><f0><U+009F><U+008C><U+009F> #Nintendo https://t.co/SlIqee07mg"
"Honestly it shouldn't be as time to be sad. This should be a happy moment that he did a lot for the Nintendo company!
Best wishes reggie! 
#nintendo #bestwishesreggie https://t.co/w7uzD0pqfh"
"After all that, Bowser won. #Nintendo"
"It’s a end of a era. #ThankYouReggie  for all that you have done for #Nintendo. Thanks for making my childhood so amazing. Wishing you the best of luck for your retirement."
"Reggie Fils-Aime Leaves nintendo, To Be Replaced By Bowser (Literally) https://t.co/A1QwpAQjzF #dougbowser #nintendo #reggiefilsaime https://t.co/qruCz46uVm"
"#Nintendo has been doing a lot of ""out with the old, in with the new"" and I'm sure the #Regginator ensured he had a smooth transition. Thank you for all the great memories Reggie. I'm excited to see what surprises @NintendoAmerica has in store! A brand new chapter. #MyBodyIsReady https://t.co/5ARaylxadM"
"Can't wait for the Link's Awakening remake!

#LinksAwakening #LegendOfZelda #Nintendo #fanart #digitalart https://t.co/3LOfphyWIY"
"This one is for you Reggie! Thank you for all the years of Fun. Nintendo will not be the same without you #ThankyouReggie #Nintendo https://t.co/axB8dO0lxP"
"Yo Reggie is retiring? Wtf #nintendo"
"End of an Era. I still miss Iwata and I'll miss Reggie too

#Nintendo"
"FINALLY #nintendo #fortnite #1vicoryroyale #NintendoSwitch https://t.co/udvAEzW5KA"
"Star Fox released 26 years ago on Super Famicom...this is something I never got round to playing but graphically, it looks like a real achievement for the 16-Bit system

#retrogaming #retrogames #GamersUnite #gaming #nintendo #SNES #supernintendo #starfox https://t.co/KQsUPxt5Wn"
